ID,Person_ID,Person_name,Person_age,Person_gender,Person_ducation_level_ID,Assoc_stimulus,Term1,Term2,cos,Person_term_ID,Person_term_name,Person_term_age,Person_term_gender,Person_term_ducation_level_ID
17,0,абитуриентка,18,female,1,образовательный/образование,образовательный/образование,научный/наука,0.68598604,2,родитель,40,female,2
18,0,абитуриентка,18,female,1,образовательный/образование,образовательный/образование,научный/наука,0.7629858,3,сотрудник,34,male,3
19,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,образовательный/образование,0.8935996,2,родитель,40,female,2
20,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,образовательный/образование,0.8329349,3,сотрудник,34,male,3
21,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,университет,0.7630521,0,абитуриентка,18,female,1
22,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,университет,0.74370426,1,магистрант,25,male,2
23,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,университет,0.75033814,2,родитель,40,female,2
24,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,университет,0.7871157,3,сотрудник,34,male,3
25,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,программа,0.9111424,0,абитуриентка,18,female,1
26,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,программа,0.37609458,1,магистрант,25,male,2
27,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,программа,0.8314996,2,родитель,40,female,2
28,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,программа,0.82993317,3,сотрудник,34,male,3
29,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,центр,0.7917086,0,абитуриентка,18,female,1
30,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,центр,0.78195167,1,магистрант,25,male,2
31,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,центр,0.8026507,2,родитель,40,female,2
32,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,центр,0.69067574,3,сотрудник,34,male,3
33,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,научный/наука,0.6761131,0,абитуриентка,18,female,1
34,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,научный/наука,0.7697574,1,магистрант,25,male,2
35,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,научный/наука,0.67247283,2,родитель,40,female,2
36,1,магистрант,25,male,2,образовательный/образование,образовательный/образование,научный/наука,0.73137397,3,сотрудник,34,male,3
37,2,родитель,40,female,2,образовательный/образование,образовательный/образование,образовательный/образование,0.9432441,3,сотрудник,34,male,3
38,2,родитель,40,female,2,образовательный/образование,образовательный/образование,университет,0.85818154,0,абитуриентка,18,female,1
39,2,родитель,40,female,2,образовательный/образование,образовательный/образование,университет,0.83843637,1,магистрант,25,male,2
40,2,родитель,40,female,2,образовательный/образование,образовательный/образование,университет,0.7301178,2,родитель,40,female,2
41,2,родитель,40,female,2,образовательный/образование,образовательный/образование,университет,0.8264521,3,сотрудник,34,male,3
42,2,родитель,40,female,2,образовательный/образование,образовательный/образование,программа,0.9036007,0,абитуриентка,18,female,1
43,2,родитель,40,female,2,образовательный/образование,образовательный/образование,программа,0.39694747,1,магистрант,25,male,2
44,2,родитель,40,female,2,образовательный/образование,образовательный/образование,программа,0.86425436,2,родитель,40,female,2
45,2,родитель,40,female,2,образовательный/образование,образовательный/образование,программа,0.8457044,3,сотрудник,34,male,3
46,2,родитель,40,female,2,образовательный/образование,образовательный/образование,центр,0.7884873,0,абитуриентка,18,female,1
47,2,родитель,40,female,2,образовательный/образование,образовательный/образование,центр,0.8031428,1,магистрант,25,male,2
48,2,родитель,40,female,2,образовательный/образование,образовательный/образование,центр,0.8271245,2,родитель,40,female,2
49,2,родитель,40,female,2,образовательный/образование,образовательный/образование,центр,0.79049134,3,сотрудник,34,male,3
50,2,родитель,40,female,2,образовательный/образование,образовательный/образование,научный/наука,0.7294404,0,абитуриентка,18,female,1
51,2,родитель,40,female,2,образовательный/образование,образовательный/образование,научный/наука,0.8206982,1,магистрант,25,male,2
52,2,родитель,40,female,2,образовательный/образование,образовательный/образование,научный/наука,0.7536143,2,родитель,40,female,2
53,2,родитель,40,female,2,образовательный/образование,образовательный/образование,научный/наука,0.80593663,3,сотрудник,34,male,3
54,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,университет,0.8771821,0,абитуриентка,18,female,1
55,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,университет,0.8454175,1,магистрант,25,male,2
56,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,университет,0.7104819,2,родитель,40,female,2
57,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,университет,0.8366732,3,сотрудник,34,male,3
58,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,программа,0.85897815,0,абитуриентка,18,female,1
59,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,программа,0.37500513,1,магистрант,25,male,2
60,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,программа,0.87086,2,родитель,40,female,2
61,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,программа,0.82097757,3,сотрудник,34,male,3
62,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,центр,0.7995995,0,абитуриентка,18,female,1
63,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,центр,0.79838765,1,магистрант,25,male,2
64,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,центр,0.8315922,2,родитель,40,female,2
65,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,центр,0.8174772,3,сотрудник,34,male,3
66,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,научный/наука,0.75367945,0,абитуриентка,18,female,1
67,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,научный/наука,0.81273186,1,магистрант,25,male,2
68,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,научный/наука,0.7646928,2,родитель,40,female,2
69,3,сотрудник,34,male,3,образовательный/образование,образовательный/образование,научный/наука,0.8346399,3,сотрудник,34,male,3
70,0,абитуриентка,18,female,1,университет,университет,университет,0.9473486,1,магистрант,25,male,2
71,0,абитуриентка,18,female,1,университет,университет,университет,0.7612796,2,родитель,40,female,2
72,0,абитуриентка,18,female,1,университет,университет,университет,0.87955844,3,сотрудник,34,male,3
73,0,абитуриентка,18,female,1,университет,университет,программа,0.8243522,0,абитуриентка,18,female,1
74,0,абитуриентка,18,female,1,университет,университет,программа,0.42868444,1,магистрант,25,male,2
75,0,абитуриентка,18,female,1,университет,университет,программа,0.8782712,2,родитель,40,female,2
76,0,абитуриентка,18,female,1,университет,университет,программа,0.8548436,3,сотрудник,34,male,3
77,0,абитуриентка,18,female,1,университет,университет,центр,0.7891177,0,абитуриентка,18,female,1
78,0,абитуриентка,18,female,1,университет,университет,центр,0.84835577,1,магистрант,25,male,2
79,0,абитуриентка,18,female,1,университет,университет,центр,0.8444915,2,родитель,40,female,2
80,0,абитуриентка,18,female,1,университет,университет,центр,0.81186974,3,сотрудник,34,male,3
81,0,абитуриентка,18,female,1,университет,университет,научный/наука,0.771731,0,абитуриентка,18,female,1
82,0,абитуриентка,18,female,1,университет,университет,научный/наука,0.8258277,1,магистрант,25,male,2
83,0,абитуриентка,18,female,1,университет,университет,научный/наука,0.7815264,2,родитель,40,female,2
84,0,абитуриентка,18,female,1,университет,университет,научный/наука,0.8096436,3,сотрудник,34,male,3
85,1,магистрант,25,male,2,университет,университет,университет,0.7967863,2,родитель,40,female,2
86,1,магистрант,25,male,2,университет,университет,университет,0.82275146,3,сотрудник,34,male,3
87,1,магистрант,25,male,2,университет,университет,программа,0.8137622,0,абитуриентка,18,female,1
88,1,магистрант,25,male,2,университет,университет,программа,0.39603767,1,магистрант,25,male,2
89,1,магистрант,25,male,2,университет,университет,программа,0.87107724,2,родитель,40,female,2
90,1,магистрант,25,male,2,университет,университет,программа,0.777534,3,сотрудник,34,male,3
91,1,магистрант,25,male,2,университет,университет,центр,0.712674,0,абитуриентка,18,female,1
92,1,магистрант,25,male,2,университет,университет,центр,0.75717854,1,магистрант,25,male,2
93,1,магистрант,25,male,2,университет,университет,центр,0.7713721,2,родитель,40,female,2
94,1,магистрант,25,male,2,университет,университет,центр,0.76883394,3,сотрудник,34,male,3
95,1,магистрант,25,male,2,университет,университет,научный/наука,0.75291145,0,абитуриентка,18,female,1
96,1,магистрант,25,male,2,университет,университет,научный/наука,0.7932142,1,магистрант,25,male,2
97,1,магистрант,25,male,2,университет,университет,научный/наука,0.7266338,2,родитель,40,female,2
98,1,магистрант,25,male,2,университет,университет,научный/наука,0.74271417,3,сотрудник,34,male,3
99,2,родитель,40,female,2,университет,университет,университет,0.85623646,3,сотрудник,34,male,3
100,2,родитель,40,female,2,университет,университет,программа,0.80604744,0,абитуриентка,18,female,1
101,2,родитель,40,female,2,университет,университет,программа,0.40720427,1,магистрант,25,male,2
102,2,родитель,40,female,2,университет,университет,программа,0.7787447,2,родитель,40,female,2
103,2,родитель,40,female,2,университет,университет,программа,0.75610876,3,сотрудник,34,male,3
104,2,родитель,40,female,2,университет,университет,центр,0.78155315,0,абитуриентка,18,female,1
105,2,родитель,40,female,2,университет,университет,центр,0.66189355,1,магистрант,25,male,2
106,2,родитель,40,female,2,университет,университет,центр,0.68753797,2,родитель,40,female,2
107,2,родитель,40,female,2,университет,университет,центр,0.66626644,3,сотрудник,34,male,3
108,2,родитель,40,female,2,университет,университет,научный/наука,0.6800562,0,абитуриентка,18,female,1
109,2,родитель,40,female,2,университет,университет,научный/наука,0.6368562,1,магистрант,25,male,2
110,2,родитель,40,female,2,университет,университет,научный/наука,0.62529504,2,родитель,40,female,2
111,2,родитель,40,female,2,университет,университет,научный/наука,0.5888244,3,сотрудник,34,male,3
112,3,сотрудник,34,male,3,университет,университет,программа,0.8436836,0,абитуриентка,18,female,1
113,3,сотрудник,34,male,3,университет,университет,программа,0.4446525,1,магистрант,25,male,2
114,3,сотрудник,34,male,3,университет,университет,программа,0.86175036,2,родитель,40,female,2
115,3,сотрудник,34,male,3,университет,университет,программа,0.869461,3,сотрудник,34,male,3
116,3,сотрудник,34,male,3,университет,университет,центр,0.83532536,0,абитуриентка,18,female,1
117,3,сотрудник,34,male,3,университет,университет,центр,0.80763197,1,магистрант,25,male,2
118,3,сотрудник,34,male,3,университет,университет,центр,0.8517552,2,родитель,40,female,2
119,3,сотрудник,34,male,3,университет,университет,центр,0.77464896,3,сотрудник,34,male,3
120,3,сотрудник,34,male,3,университет,университет,научный/наука,0.72426414,0,абитуриентка,18,female,1
121,3,сотрудник,34,male,3,университет,университет,научный/наука,0.73515236,1,магистрант,25,male,2
122,3,сотрудник,34,male,3,университет,университет,научный/наука,0.73403996,2,родитель,40,female,2
123,3,сотрудник,34,male,3,университет,университет,научный/наука,0.74957275,3,сотрудник,34,male,3
124,0,абитуриентка,18,female,1,программа,программа,программа,0.40924197,1,магистрант,25,male,2
125,0,абитуриентка,18,female,1,программа,программа,программа,0.8969579,2,родитель,40,female,2
126,0,абитуриентка,18,female,1,программа,программа,программа,0.8710154,3,сотрудник,34,male,3
127,0,абитуриентка,18,female,1,программа,программа,центр,0.8031838,0,абитуриентка,18,female,1
128,0,абитуриентка,18,female,1,программа,программа,центр,0.81687653,1,магистрант,25,male,2
129,0,абитуриентка,18,female,1,программа,программа,центр,0.828538,2,родитель,40,female,2
130,0,абитуриентка,18,female,1,программа,программа,центр,0.740183,3,сотрудник,34,male,3
131,0,абитуриентка,18,female,1,программа,программа,научный/наука,0.72091794,0,абитуриентка,18,female,1
132,0,абитуриентка,18,female,1,программа,программа,научный/наука,0.7769805,1,магистрант,25,male,2
133,0,абитуриентка,18,female,1,программа,программа,научный/наука,0.7109019,2,родитель,40,female,2
134,0,абитуриентка,18,female,1,программа,программа,научный/наука,0.7532429,3,сотрудник,34,male,3
135,1,магистрант,25,male,2,программа,программа,программа,0.438496,2,родитель,40,female,2
136,1,магистрант,25,male,2,программа,программа,программа,0.44735178,3,сотрудник,34,male,3
137,1,магистрант,25,male,2,программа,программа,центр,0.43453395,0,абитуриентка,18,female,1
138,1,магистрант,25,male,2,программа,программа,центр,0.43291873,1,магистрант,25,male,2
139,1,магистрант,25,male,2,программа,программа,центр,0.4301382,2,родитель,40,female,2
140,1,магистрант,25,male,2,программа,программа,центр,0.39059025,3,сотрудник,34,male,3
141,1,магистрант,25,male,2,программа,программа,научный/наука,0.3822406,0,абитуриентка,18,female,1
142,1,магистрант,25,male,2,программа,программа,научный/наука,0.47693494,1,магистрант,25,male,2
143,1,магистрант,25,male,2,программа,программа,научный/наука,0.4173379,2,родитель,40,female,2
144,1,магистрант,25,male,2,программа,программа,научный/наука,0.41610587,3,сотрудник,34,male,3
145,2,родитель,40,female,2,программа,программа,программа,0.85735834,3,сотрудник,34,male,3
146,2,родитель,40,female,2,программа,программа,центр,0.7806215,0,абитуриентка,18,female,1
147,2,родитель,40,female,2,программа,программа,центр,0.81406915,1,магистрант,25,male,2
148,2,родитель,40,female,2,программа,программа,центр,0.87907887,2,родитель,40,female,2
149,2,родитель,40,female,2,программа,программа,центр,0.7569891,3,сотрудник,34,male,3
150,2,родитель,40,female,2,программа,программа,научный/наука,0.7305529,0,абитуриентка,18,female,1
151,2,родитель,40,female,2,программа,программа,научный/наука,0.79679936,1,магистрант,25,male,2
152,2,родитель,40,female,2,программа,программа,научный/наука,0.7440914,2,родитель,40,female,2
153,2,родитель,40,female,2,программа,программа,научный/наука,0.79743415,3,сотрудник,34,male,3
154,3,сотрудник,34,male,3,программа,программа,центр,0.8535782,0,абитуриентка,18,female,1
155,3,сотрудник,34,male,3,программа,программа,центр,0.8668069,1,магистрант,25,male,2
156,3,сотрудник,34,male,3,программа,программа,центр,0.8933362,2,родитель,40,female,2
157,3,сотрудник,34,male,3,программа,программа,центр,0.7669089,3,сотрудник,34,male,3
158,3,сотрудник,34,male,3,программа,программа,научный/наука,0.74257547,0,абитуриентка,18,female,1
159,3,сотрудник,34,male,3,программа,программа,научный/наука,0.7796483,1,магистрант,25,male,2
160,3,сотрудник,34,male,3,программа,программа,научный/наука,0.7657497,2,родитель,40,female,2
161,3,сотрудник,34,male,3,программа,программа,научный/наука,0.7869512,3,сотрудник,34,male,3
162,0,абитуриентка,18,female,1,центр,центр,центр,0.85510075,1,магистрант,25,male,2
163,0,абитуриентка,18,female,1,центр,центр,центр,0.8401487,2,родитель,40,female,2
164,0,абитуриентка,18,female,1,центр,центр,центр,0.792026,3,сотрудник,34,male,3
165,0,абитуриентка,18,female,1,центр,центр,научный/наука,0.7440168,0,абитуриентка,18,female,1
166,0,абитуриентка,18,female,1,центр,центр,научный/наука,0.7226924,1,магистрант,25,male,2
167,0,абитуриентка,18,female,1,центр,центр,научный/наука,0.7710006,2,родитель,40,female,2
168,0,абитуриентка,18,female,1,центр,центр,научный/наука,0.74898636,3,сотрудник,34,male,3
169,1,магистрант,25,male,2,центр,центр,центр,0.8879121,2,родитель,40,female,2
170,1,магистрант,25,male,2,центр,центр,центр,0.7593652,3,сотрудник,34,male,3
171,1,магистрант,25,male,2,центр,центр,научный/наука,0.7799815,0,абитуриентка,18,female,1
172,1,магистрант,25,male,2,центр,центр,научный/наука,0.7472246,1,магистрант,25,male,2
173,1,магистрант,25,male,2,центр,центр,научный/наука,0.79386044,2,родитель,40,female,2
174,1,магистрант,25,male,2,центр,центр,научный/наука,0.81792915,3,сотрудник,34,male,3
175,2,родитель,40,female,2,центр,центр,центр,0.7906387,3,сотрудник,34,male,3
176,2,родитель,40,female,2,центр,центр,научный/наука,0.7103888,0,абитуриентка,18,female,1
177,2,родитель,40,female,2,центр,центр,научный/наука,0.76589936,1,магистрант,25,male,2
178,2,родитель,40,female,2,центр,центр,научный/наука,0.76811504,2,родитель,40,female,2
179,2,родитель,40,female,2,центр,центр,научный/наука,0.8045249,3,сотрудник,34,male,3
180,3,сотрудник,34,male,3,центр,центр,научный/наука,0.82554376,0,абитуриентка,18,female,1
181,3,сотрудник,34,male,3,центр,центр,научный/наука,0.8024262,1,магистрант,25,male,2
182,3,сотрудник,34,male,3,центр,центр,научный/наука,0.9064121,2,родитель,40,female,2
183,3,сотрудник,34,male,3,центр,центр,научный/наука,0.85689783,3,сотрудник,34,male,3
184,0,абитуриентка,18,female,1,научный/наука,научный/наука,научный/наука,0.7783475,1,магистрант,25,male,2
185,0,абитуриентка,18,female,1,научный/наука,научный/наука,научный/наука,0.8904794,2,родитель,40,female,2
186,0,абитуриентка,18,female,1,научный/наука,научный/наука,научный/наука,0.8894722,3,сотрудник,34,male,3
187,1,магистрант,25,male,2,научный/наука,научный/наука,научный/наука,0.80326927,2,родитель,40,female,2
188,1,магистрант,25,male,2,научный/наука,научный/наука,научный/наука,0.8468521,3,сотрудник,34,male,3
189,2,родитель,40,female,2,научный/наука,научный/наука,научный/наука,0.9405205,3,сотрудник,34,male,3
